solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap101;120;0,02;0;0,0;796648,4375;796648,4375;74;1274;2474;74;1274;2474;0,0;2894362,6;0,0;796648,4375;796648,4375;0,02;;;2;24;73;;11;;;;;2;24;11;;;2;24;73;;11;;
GUROBI;cap101;120;0,01;0;1,0;796648,4375;796648,4375;75;1275;2525;59;189;355;717778,423;1021846,15;717778,423;796648,438;796648,438;0,0;;;3;5;44;;;8;;;;3;5;;8;;3;5;44;;;8;
CBC;cap101;120;0,1;0;4;796648,4374999999;796648,4374999999;75;1275;2525;74;1273;2473;796648,44;832291,15;796648,44;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;300;0,02;0;0,0;796648,4375;796648,4375;74;1274;2474;74;1274;2474;0,0;2894362,6;0,0;796648,4375;796648,4375;0,02;;;2;24;73;;11;;;;;2;24;11;;;2;24;73;;11;;
GUROBI;cap101;300;0,01;0;1,0;796648,4375;796648,4375;75;1275;2525;59;189;355;717778,423;1021846,15;717778,423;796648,438;796648,438;0,0;;;3;5;44;;;8;;;;3;5;;8;;3;5;44;;;8;
CBC;cap101;300;0,08;0;4;796648,4374999999;796648,4374999999;75;1275;2525;74;1273;2473;796648,44;832291,15;796648,44;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;600;0,02;0;0,0;796648,4375;796648,4375;74;1274;2474;74;1274;2474;0,0;2894362,6;0,0;796648,4375;796648,4375;0,02;;;2;24;73;;11;;;;;2;24;11;;;2;24;73;;11;;
GUROBI;cap101;600;0,01;0;1,0;796648,4375;796648,4375;75;1275;2525;59;189;355;717778,423;1021846,15;717778,423;796648,438;796648,438;0,0;;;3;5;44;;;8;;;;3;5;;8;;3;5;44;;;8;
CBC;cap101;600;0,09;0;4;796648,4374999999;796648,4374999999;75;1275;2525;74;1273;2473;796648,44;832291,15;796648,44;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;120;0,04;0;0,0;854704,2;854704,2;74;1274;2474;74;1274;2474;0,0;2899362,6;0,0;854704,2;854704,2;0,04;;;6;24;89;;3;;;;;6;24;3;;;6;24;89;;3;;
GUROBI;cap102;120;0,01;0;1,0;854704,2;854704,2;75;1275;2525;60;195;366;748324,033;1096912,7;748324,033;854704,2;854704,2;0,0;;;4;4;44;;;10;;;;4;4;;10;;4;4;44;;;10;
CBC;cap102;120;0,09;0;3;854704,2;854704,2;75;1275;2525;74;1273;2473;854704,2;952291,15;854704,2;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;300;0,04;0;0,0;854704,2;854704,2;74;1274;2474;74;1274;2474;0,0;2899362,6;0,0;854704,2;854704,2;0,03;;;6;24;89;;3;;;;;6;24;3;;;6;24;89;;3;;
GUROBI;cap102;300;0,01;0;1,0;854704,2;854704,2;75;1275;2525;60;195;366;748324,033;1096912,7;748324,033;854704,2;854704,2;0,0;;;4;4;44;;;10;;;;4;4;;10;;4;4;44;;;10;
CBC;cap102;300;0,08;0;3;854704,2;854704,2;75;1275;2525;74;1273;2473;854704,2;952291,15;854704,2;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap102;600;0,04;0;0,0;854704,2;854704,2;74;1274;2474;74;1274;2474;0,0;2899362,6;0,0;854704,2;854704,2;0,04;;;6;24;89;;3;;;;;6;24;3;;;6;24;89;;3;;
GUROBI;cap102;600;0,01;0;1,0;854704,2;854704,2;75;1275;2525;60;195;366;748324,033;1096912,7;748324,033;854704,2;854704,2;0,0;;;4;4;44;;;10;;;;4;4;;10;;4;4;44;;;10;
CBC;cap102;600;0,09;0;3;854704,2;854704,2;75;1275;2525;74;1273;2473;854704,2;952291,15;854704,2;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap103;120;0,04;0;0,0;893782,1125;893782,1125;74;1274;2474;74;1274;2474;0,0;2904362,6;0,0;893782,1125;893782,1125;0,04;;;2;24;119;;2;;;;;2;24;2;;;2;24;119;;2;;
GUROBI;cap103;120;0,02;0;1,0;893782,1125;893782,1125;75;1275;2525;65;226;426;764809,855;1127924,09;764809,855;893548,98;893782,113;0,0;;;5;8;72;;;13;;;;5;8;;13;;5;8;72;;;13;
CBC;cap103;120;0,11;0;3;893782,1125;893782,1125;75;1275;2525;74;1273;2473;893782,11;1072291,1;893782,11;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap103;300;0,04;0;0,0;893782,1125;893782,1125;74;1274;2474;74;1274;2474;0,0;2904362,6;0,0;893782,1125;893782,1125;0,04;;;2;24;119;;2;;;;;2;24;2;;;2;24;119;;2;;
GUROBI;cap103;300;0,02;0;1,0;893782,1125;893782,1125;75;1275;2525;65;226;426;764809,855;1127924,09;764809,855;893548,98;893782,113;0,0;;;5;8;72;;;13;;;;5;8;;13;;5;8;72;;;13;
CBC;cap103;300;0,11;0;3;893782,1125;893782,1125;75;1275;2525;74;1273;2473;893782,11;1072291,1;893782,11;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap103;600;0,04;0;0,0;893782,1125;893782,1125;74;1274;2474;74;1274;2474;0,0;2904362,6;0,0;893782,1125;893782,1125;0,04;;;2;24;119;;2;;;;;2;24;2;;;2;24;119;;2;;
GUROBI;cap103;600;0,02;0;1,0;893782,1125;893782,1125;75;1275;2525;65;226;426;764809,855;1127924,09;764809,855;893548,98;893782,113;0,0;;;5;8;72;;;13;;;;5;8;;13;;5;8;72;;;13;
CBC;cap103;600;0,1;0;3;893782,1125;893782,1125;75;1275;2525;74;1273;2473;893782,11;1072291,1;893782,11;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap104;120;0,06;0;0,0;928941,75;928941,75;74;1274;2474;74;1274;2474;0,0;2911862,6;0,0;928941,75;928941,75;0,06;;;1;24;140;1;1;;;;;1;24;1;;;1;24;140;1;1;;
GUROBI;cap104;120;0,02;0;1,0;928941,75;928941,75;75;1275;2525;65;226;426;793765,894;1240424,09;793765,894;928729,294;928941,75;0,0;;;5;6;70;;;9;;;;5;6;;9;;5;6;70;;;9;
CBC;cap104;120;0,1;0;2;928941,75;928941,75;75;1275;2525;74;1273;2473;928941,75;1252291,1;928941,75;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap104;300;0,06;0;0,0;928941,75;928941,75;74;1274;2474;74;1274;2474;0,0;2911862,6;0,0;928941,75;928941,75;0,06;;;1;24;140;1;1;;;;;1;24;1;;;1;24;140;1;1;;
GUROBI;cap104;300;0,02;0;1,0;928941,75;928941,75;75;1275;2525;65;226;426;793765,894;1240424,09;793765,894;928729,294;928941,75;0,0;;;5;6;70;;;9;;;;5;6;;9;;5;6;70;;;9;
CBC;cap104;300;0,1;0;2;928941,75;928941,75;75;1275;2525;74;1273;2473;928941,75;1252291,1;928941,75;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap104;600;0,06;0;0,0;928941,75;928941,75;74;1274;2474;74;1274;2474;0,0;2911862,6;0,0;928941,75;928941,75;0,06;;;1;24;140;1;1;;;;;1;24;1;;;1;24;140;1;1;;
GUROBI;cap104;600;0,02;0;1,0;928941,75;928941,75;75;1275;2525;65;226;426;793765,894;1240424,09;793765,894;928729,294;928941,75;0,0;;;5;6;70;;;9;;;;5;6;;9;;5;6;70;;;9;
CBC;cap104;600;0,1;0;2;928941,75;928941,75;75;1275;2525;74;1273;2473;928941,75;1252291,1;928941,75;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap121;120;0,09;0;0,0;793439,5625;793439,5625;100;2549;5049;100;2549;5049;0,0;3718773,2625;0,0;793439,5625;793439,5625;0,08;;;1;32;146;2;;;;;;1;32;;;;1;32;146;2;;;
GUROBI;cap121;120;0,14;0;1,0;793439,5625;793439,5625;100;2550;5050;100;2549;5049;652929,95;2649531,81;652929,95;793439,562;793439,5625;0,0;;;1;;143;;;;;;;1;;;;;1;;143;;;;
CBC;cap121;120;0,11;0;0;793439,5624999999;793439,5624999999;100;2550;5050;100;2549;5049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap121;300;0,08;0;0,0;793439,5625;793439,5625;100;2549;5049;100;2549;5049;0,0;3718773,2625;0,0;793439,5625;793439,5625;0,08;;;1;32;146;2;;;;;;1;32;;;;1;32;146;2;;;
GUROBI;cap121;300;0,14;0;1,0;793439,5625;793439,5625;100;2550;5050;100;2549;5049;652929,95;2649531,81;652929,95;793439,562;793439,5625;0,0;;;1;;143;;;;;;;1;;;;;1;;143;;;;
CBC;cap121;300;0,1;0;0;793439,5624999999;793439,5624999999;100;2550;5050;100;2549;5049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap121;600;0,09;0;0,0;793439,5625;793439,5625;100;2549;5049;100;2549;5049;0,0;3718773,2625;0,0;793439,5625;793439,5625;0,09;;;1;32;146;2;;;;;;1;32;;;;1;32;146;2;;;
GUROBI;cap121;600;0,14;0;1,0;793439,5625;793439,5625;100;2550;5050;100;2549;5049;652929,95;2649531,81;652929,95;793439,562;793439,5625;0,0;;;1;;143;;;;;;;1;;;;;1;;143;;;;
CBC;cap121;600;0,12;0;0;793439,5624999999;793439,5624999999;100;2550;5050;100;2549;5049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap122;120;0,16;0;47,0;852524,625;852524,14583;100;2549;5049;100;2549;5049;0,0;3963773,2625;0,0;851856,1664;853080,125;0,13;;;3;31;196;2;;;;;;3;31;;;;3;31;196;2;;;
GUROBI;cap122;120;0,19;0;1,0;852524,625;852499,25;100;2550;5050;100;2549;5049;672168,95;2794531,81;672168,95;852396,686;852524,625;0,0;;;;;;;4;;;;;;;4;;;;;;;4;;
CBC;cap122;120;0,48;0;17;852524,6249999999;852524,6249999999;100;2550;5050;100;2549;5049;852442,31;1236571,4;852442,31;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap122;300;0,16;0;47,0;852524,625;852524,14583;100;2549;5049;100;2549;5049;0,0;3963773,2625;0,0;851856,1664;853080,125;0,13;;;3;31;196;2;;;;;;3;31;;;;3;31;196;2;;;
GUROBI;cap122;300;0,19;0;1,0;852524,625;852499,25;100;2550;5050;100;2549;5049;672168,95;2794531,81;672168,95;852396,686;852524,625;0,0;;;;;;;4;;;;;;;4;;;;;;;4;;
CBC;cap122;300;0,49;0;17;852524,6249999999;852524,6249999999;100;2550;5050;100;2549;5049;852442,31;1236571,4;852442,31;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap122;600;0,16;0;47,0;852524,625;852524,14583;100;2549;5049;100;2549;5049;0,0;3963773,2625;0,0;851856,1664;853080,125;0,13;;;3;31;196;2;;;;;;3;31;;;;3;31;196;2;;;
GUROBI;cap122;600;0,19;0;1,0;852524,625;852499,25;100;2550;5050;100;2549;5049;672168,95;2794531,81;672168,95;852396,686;852524,625;0,0;;;;;;;4;;;;;;;4;;;;;;;4;;
CBC;cap122;600;0,49;0;17;852524,6249999999;852524,6249999999;100;2550;5050;100;2549;5049;852442,31;1236571,4;852442,31;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap123;120;0,2;0;42,0;895302,325;895278,48836;100;2549;5049;100;2549;5049;0,0;4208773,2625;0,0;894363,4879;895857,825;0,17;;;5;31;247;3;5;;;;;5;31;5;;;5;31;247;3;5;;
GUROBI;cap123;120;0,2;0;1,0;895302,325;895282,6795954;100;2550;5050;100;2549;5049;691407,95;2939531,81;691407,95;895282,68;895302,325;0,0;;;;;51;1;5;1;;;;;;5;1;;;;51;1;5;1;
CBC;cap123;120;0,98;0;24;895302,325;895302,325;100;2550;5050;100;2549;5049;894963,79;1025283,5;894963,79;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap123;300;0,2;0;42,0;895302,325;895278,48836;100;2549;5049;100;2549;5049;0,0;4208773,2625;0,0;894363,4879;895857,825;0,17;;;5;31;247;3;5;;;;;5;31;5;;;5;31;247;3;5;;
GUROBI;cap123;300;0,2;0;1,0;895302,325;895282,6795954;100;2550;5050;100;2549;5049;691407,95;2939531,81;691407,95;895282,68;895302,325;0,0;;;;;51;1;5;1;;;;;;5;1;;;;51;1;5;1;
CBC;cap123;300;1,0;0;24;895302,325;895302,325;100;2550;5050;100;2549;5049;894963,79;1025283,5;894963,79;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap123;600;0,2;0;42,0;895302,325;895278,48836;100;2549;5049;100;2549;5049;0,0;4208773,2625;0,0;894363,4879;895857,825;0,17;;;5;31;247;3;5;;;;;5;31;5;;;5;31;247;3;5;;
GUROBI;cap123;600;0,2;0;1,0;895302,325;895282,6795954;100;2550;5050;100;2549;5049;691407,95;2939531,81;691407,95;895282,68;895302,325;0,0;;;;;51;1;5;1;;;;;;5;1;;;;51;1;5;1;
CBC;cap123;600;0,98;0;24;895302,325;895302,325;100;2550;5050;100;2549;5049;894963,79;1025283,5;894963,79;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap124;120;0,23;0;32,0;946051,325;945967,3008;100;2549;5049;100;2549;5049;0,0;4576273,2625;0,0;942428,231;946051,325;0,19;;;;13;288;1;;;1;;;;13;;;1;;13;288;1;;;1
GUROBI;cap124;120;0,28;0;1,0;946051,325;946004,775;100;2550;5050;100;2549;5049;719830,404;3157031,81;719830,404;946004,775;946051,325;0,0;;;1;;50;;5;2;;;;1;;5;2;;1;;50;;5;2;
CBC;cap124;120;2,36;0;54;946051,3249999998;946051,3249999998;100;2550;5050;100;2549;5049;942401,29;1015654,5;942401,29;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap124;300;0,22;0;32,0;946051,325;945967,3008;100;2549;5049;100;2549;5049;0,0;4576273,2625;0,0;942428,231;946051,325;0,19;;;;13;288;1;;;1;;;;13;;;1;;13;288;1;;;1
GUROBI;cap124;300;0,28;0;1,0;946051,325;946004,775;100;2550;5050;100;2549;5049;719830,404;3157031,81;719830,404;946004,775;946051,325;0,0;;;1;;50;;5;2;;;;1;;5;2;;1;;50;;5;2;
CBC;cap124;300;2,35;0;54;946051,3249999998;946051,3249999998;100;2550;5050;100;2549;5049;942401,29;1015654,5;942401,29;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap124;600;0,22;0;32,0;946051,325;945967,3008;100;2549;5049;100;2549;5049;0,0;4576273,2625;0,0;942428,231;946051,325;0,19;;;;13;288;1;;;1;;;;13;;;1;;13;288;1;;;1
GUROBI;cap124;600;0,28;0;1,0;946051,325;946004,775;100;2550;5050;100;2549;5049;719830,404;3157031,81;719830,404;946004,775;946051,325;0,0;;;1;;50;;5;2;;;;1;;5;2;;1;;50;;5;2;
CBC;cap124;600;2,36;0;54;946051,3249999998;946051,3249999998;100;2550;5050;100;2549;5049;942401,29;1015654,5;942401,29;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap131;120;0,11;0;0,0;793512,7875;793436,05377;99;2549;4999;99;2549;4999;0,0;2961668,225;0,0;793436,0538;793512,7875;;;;2;44;144;;;;;;;2;44;;;;2;44;144;;;;
GUROBI;cap131;120;0,04;0;1,0;793439,5625;793391,372615;100;2550;5050;92;487;900;670948,646;1101778,49;670948,646;793391,373;793439,5625;0,0;;;;1;125;;;2;;;;;1;;2;;;1;125;;;2;
CBC;cap131;120;0,27;0;6;793439,5624999999;793439,5624999999;100;2550;5050;99;2548;4998;793439,56;991571,45;793439,56;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap131;300;0,11;0;0,0;793512,7875;793436,05377;99;2549;4999;99;2549;4999;0,0;2961668,225;0,0;793436,0538;793512,7875;;;;2;44;144;;;;;;;2;44;;;;2;44;144;;;;
GUROBI;cap131;300;0,04;0;1,0;793439,5625;793391,372615;100;2550;5050;92;487;900;670948,646;1101778,49;670948,646;793391,373;793439,5625;0,0;;;;1;125;;;2;;;;;1;;2;;;1;125;;;2;
CBC;cap131;300;0,26;0;6;793439,5624999999;793439,5624999999;100;2550;5050;99;2548;4998;793439,56;991571,45;793439,56;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap131;600;0,11;0;0,0;793512,7875;793436,05377;99;2549;4999;99;2549;4999;0,0;2961668,225;0,0;793436,0538;793512,7875;;;;2;44;144;;;;;;;2;44;;;;2;44;144;;;;
GUROBI;cap131;600;0,04;0;1,0;793439,5625;793391,372615;100;2550;5050;92;487;900;670948,646;1101778,49;670948,646;793391,373;793439,5625;0,0;;;;1;125;;;2;;;;;1;;2;;;1;125;;;2;
CBC;cap131;600;0,25;0;6;793439,5624999999;793439,5624999999;100;2550;5050;99;2548;4998;793439,56;991571,45;793439,56;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap132;120;0,11;0;0,0;851495,325;851495,325;99;2549;4999;99;2549;4999;0,0;2966668,225;0,0;851495,325;851495,325;0,11;;;3;44;200;;;;;;;3;44;;;;3;44;200;;;;
GUROBI;cap132;120;0,06;0;1,0;851495,325;851495,325;100;2550;5050;92;487;900;697497,027;1206778,49;697497,027;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;cap132;120;0,68;0;54;851495,3250000001;851495,3250000001;100;2550;5050;99;2548;4998;851495,32;1236571,4;851495,32;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap132;300;0,12;0;0,0;851495,325;851495,325;99;2549;4999;99;2549;4999;0,0;2966668,225;0,0;851495,325;851495,325;0,11;;;3;44;200;;;;;;;3;44;;;;3;44;200;;;;
GUROBI;cap132;300;0,06;0;1,0;851495,325;851495,325;100;2550;5050;92;487;900;697497,027;1206778,49;697497,027;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;cap132;300;0,69;0;54;851495,3250000001;851495,3250000001;100;2550;5050;99;2548;4998;851495,32;1236571,4;851495,32;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap132;600;0,11;0;0,0;851495,325;851495,325;99;2549;4999;99;2549;4999;0,0;2966668,225;0,0;851495,325;851495,325;0,11;;;3;44;200;;;;;;;3;44;;;;3;44;200;;;;
GUROBI;cap132;600;0,06;0;1,0;851495,325;851495,325;100;2550;5050;92;487;900;697497,027;1206778,49;697497,027;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;cap132;600;0,68;0;54;851495,3250000001;851495,3250000001;100;2550;5050;99;2548;4998;851495,32;1236571,4;851495,32;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap133;120;0,12;0;0,0;893076,7125;893076,7125;99;2549;4999;99;2549;4999;0,0;2971668,225;0,0;893076,7125;893076,7125;0,12;;;5;44;264;1;1;;;;;5;44;1;;;5;44;264;1;1;;
GUROBI;cap133;120;0,06;0;1,0;893076,7125;893076,7125;100;2550;5050;92;487;900;723580,563;1311778,49;723580,563;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;cap133;120;1,07;0;220;893076,7124999999;893076,7124999999;100;2550;5050;99;2548;4998;893076,71;1481571,4;893076,71;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap133;300;0,12;0;0,0;893076,7125;893076,7125;99;2549;4999;99;2549;4999;0,0;2971668,225;0,0;893076,7125;893076,7125;0,12;;;5;44;264;1;1;;;;;5;44;1;;;5;44;264;1;1;;
GUROBI;cap133;300;0,06;0;1,0;893076,7125;893076,7125;100;2550;5050;92;487;900;723580,563;1311778,49;723580,563;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;cap133;300;1,07;0;220;893076,7124999999;893076,7124999999;100;2550;5050;99;2548;4998;893076,71;1481571,4;893076,71;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap133;600;0,12;0;0,0;893076,7125;893076,7125;99;2549;4999;99;2549;4999;0,0;2971668,225;0,0;893076,7125;893076,7125;0,11;;;5;44;264;1;1;;;;;5;44;1;;;5;44;264;1;1;;
GUROBI;cap133;600;0,06;0;1,0;893076,7125;893076,7125;100;2550;5050;92;487;900;723580,563;1311778,49;723580,563;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;cap133;600;1,06;0;220;893076,7124999999;893076,7124999999;100;2550;5050;99;2548;4998;893076,71;1481571,4;893076,71;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap134;120;0,18;0;0,0;928941,75;928922,97522;99;2549;4999;99;2549;4999;0,0;2979168,225;0,0;928922,9752;928941,75;;;;10;44;295;1;;;;;;10;44;;;;10;44;295;1;;;
GUROBI;cap134;120;0,05;0;1,0;928941,75;928941,75;100;2550;5050;92;487;900;760502,469;1469278,49;760502,469;928941,75;928941,75;0,0;;;2;4;151;;;3;;;;2;4;;3;;2;4;151;;;3;
CBC;cap134;120;1,97;0;589;928941,75;928941,75;100;2550;5050;99;2548;4998;928941,75;1849071,4;928941,75;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap134;300;0,18;0;0,0;928941,75;928922,97522;99;2549;4999;99;2549;4999;0,0;2979168,225;0,0;928922,9752;928941,75;;;;10;44;295;1;;;;;;10;44;;;;10;44;295;1;;;
GUROBI;cap134;300;0,05;0;1,0;928941,75;928941,75;100;2550;5050;92;487;900;760502,469;1469278,49;760502,469;928941,75;928941,75;0,0;;;2;4;151;;;3;;;;2;4;;3;;2;4;151;;;3;
CBC;cap134;300;1,96;0;589;928941,75;928941,75;100;2550;5050;99;2548;4998;928941,75;1849071,4;928941,75;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap134;600;0,18;0;0,0;928941,75;928922,97522;99;2549;4999;99;2549;4999;0,0;2979168,225;0,0;928922,9752;928941,75;;;;10;44;295;1;;;;;;10;44;;;;10;44;295;1;;;
GUROBI;cap134;600;0,05;0;1,0;928941,75;928941,75;100;2550;5050;92;487;900;760502,469;1469278,49;760502,469;928941,75;928941,75;0,0;;;2;4;151;;;3;;;;2;4;;3;;2;4;151;;;3;
CBC;cap134;600;1,95;0;589;928941,75;928941,75;100;2550;5050;99;2548;4998;928941,75;1849071,4;928941,75;;;;;;;;;;;;;;;;;;;;;;;;;;
