solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap61;120;0,03;0;0,0;932615,75;932615,19099;66;815;1615;66;815;1615;0,0;2081353,4375;0,0;932615,191;932615,75;;31;15;;15;;9;;;31;15;;15;2;;9;;
GUROBI;cap61;120;0,02;0;1,0;932615,75;932615,75;66;816;1616;66;815;1615;865538,687;1448513,6;865538,687;927877,825;932615,75;0,0;18;9;;;;2;4;;18;9;;;;;2;4;
CBC;cap61;120;0,06;0;0;932615,7499999999;932615,7499999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap61;300;0,03;0;0,0;932615,75;932615,19099;66;815;1615;66;815;1615;0,0;2081353,4375;0,0;932615,191;932615,75;;31;15;;15;;9;;;31;15;;15;2;;9;;
GUROBI;cap61;300;0,02;0;1,0;932615,75;932615,75;66;816;1616;66;815;1615;865538,687;1448513,6;865538,687;927877,825;932615,75;0,0;18;9;;;;2;4;;18;9;;;;;2;4;
CBC;cap61;300;0,06;0;0;932615,7499999999;932615,7499999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap61;600;0,03;0;0,0;932615,75;932615,19099;66;815;1615;66;815;1615;0,0;2081353,4375;0,0;932615,191;932615,75;;31;15;;15;;9;;;31;15;;15;2;;9;;
GUROBI;cap61;600;0,02;0;1,0;932615,75;932615,75;66;816;1616;66;815;1615;865538,687;1448513,6;865538,687;927877,825;932615,75;0,0;18;9;;;;2;4;;18;9;;;;;2;4;
CBC;cap61;600;0,06;0;0;932615,7499999999;932615,7499999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap62;120;0,04;0;0,0;977799,4;977799,4;66;815;1615;30;89;152;0,0;2156353,4375;0,0;121,0;977799,4;;26;12;;8;;9;;;26;12;;8;2;;9;;
GUROBI;cap62;120;0,03;0;1,0;977799,4;977799,4;66;816;1616;66;815;1615;883917,687;1488513,6;883917,687;977799,4;977799,4;0,0;10;4;;;;2;2;;10;4;;;;;2;2;
CBC;cap62;120;0,07;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap62;300;0,04;0;0,0;977799,4;977799,4;66;815;1615;30;89;152;0,0;2156353,4375;0,0;121,0;977799,4;;26;12;;8;;9;;;26;12;;8;2;;9;;
GUROBI;cap62;300;0,03;0;1,0;977799,4;977799,4;66;816;1616;66;815;1615;883917,687;1488513,6;883917,687;977799,4;977799,4;0,0;10;4;;;;2;2;;10;4;;;;;2;2;
CBC;cap62;300;0,07;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap62;600;0,04;0;0,0;977799,4;977799,4;66;815;1615;30;89;152;0,0;2156353,4375;0,0;121,0;977799,4;;26;12;;8;;9;;;26;12;;8;2;;9;;
GUROBI;cap62;600;0,02;0;1,0;977799,4;977799,4;66;816;1616;66;815;1615;883917,687;1488513,6;883917,687;977799,4;977799,4;0,0;10;4;;;;2;2;;10;4;;;;;2;2;
CBC;cap62;600;0,07;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;120;0,05;0;0,0;1014099,6125;1014099,6125;66;815;1615;51;298;575;0,0;2231353,4375;0,0;180,0;1014099,6125;0,05;46;19;;13;2;10;;;46;19;;13;3;2;10;;
GUROBI;cap63;120;0,03;0;1,0;1014099,6125;1014099,6125;66;816;1616;66;815;1615;902175,204;1528513,6;902175,204;1013928,73;1014099,61;0,0;8;3;;;;1;3;;8;3;;;;;1;3;
CBC;cap63;120;0,1;0;2;1014099,6125;1014099,6125;66;816;1616;66;815;1615;1013976,9;1014099,6;1013976,9;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;300;0,05;0;0,0;1014099,6125;1014099,6125;66;815;1615;51;298;575;0,0;2231353,4375;0,0;180,0;1014099,6125;0,05;46;19;;13;2;10;;;46;19;;13;3;2;10;;
GUROBI;cap63;300;0,03;0;1,0;1014099,6125;1014099,6125;66;816;1616;66;815;1615;902175,204;1528513,6;902175,204;1013928,73;1014099,61;0,0;8;3;;;;1;3;;8;3;;;;;1;3;
CBC;cap63;300;0,11;0;2;1014099,6125;1014099,6125;66;816;1616;66;815;1615;1013976,9;1014099,6;1013976,9;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;600;0,05;0;0,0;1014099,6125;1014099,6125;66;815;1615;51;298;575;0,0;2231353,4375;0,0;180,0;1014099,6125;0,05;46;19;;13;2;10;;;46;19;;13;3;2;10;;
GUROBI;cap63;600;0,03;0;1,0;1014099,6125;1014099,6125;66;816;1616;66;815;1615;902175,204;1528513,6;902175,204;1013928,73;1014099,61;0,0;8;3;;;;1;3;;8;3;;;;;1;3;
CBC;cap63;600;0,11;0;2;1014099,6125;1014099,6125;66;816;1616;66;815;1615;1013976,9;1014099,6;1013976,9;;;;;;;;;;;;;;;;;;;;
CPLEX;cap64;120;0,08;0;0,0;1053197,4375;1053197,4375;66;815;1615;60;413;801;0,0;2343853,4375;0,0;1053197,4375;1053197,4375;0,08;65;30;3;12;;17;;3;65;30;3;12;;;17;;3
GUROBI;cap64;120;0,04;0;1,0;1053197,4375;1053197,4375;66;816;1616;66;815;1615;928920,971;1588513,6;928920,971;1051692,25;1053197,44;0,0;4;4;;6;;1;5;;4;4;;6;;;1;5;
CBC;cap64;120;0,17;0;2;1053197,4375;1053197,4375;66;816;1616;66;815;1615;1052551,2;1053197,4;1052551,2;;;;;;;;;;;;;;;;;;;;
CPLEX;cap64;300;0,07;0;0,0;1053197,4375;1053197,4375;66;815;1615;60;413;801;0,0;2343853,4375;0,0;1053197,4375;1053197,4375;0,07;65;30;3;12;;17;;3;65;30;3;12;;;17;;3
GUROBI;cap64;300;0,04;0;1,0;1053197,4375;1053197,4375;66;816;1616;66;815;1615;928920,971;1588513,6;928920,971;1051692,25;1053197,44;0,0;4;4;;6;;1;5;;4;4;;6;;;1;5;
CBC;cap64;300;0,17;0;2;1053197,4375;1053197,4375;66;816;1616;66;815;1615;1052551,2;1053197,4;1052551,2;;;;;;;;;;;;;;;;;;;;
CPLEX;cap64;600;0,07;0;0,0;1053197,4375;1053197,4375;66;815;1615;60;413;801;0,0;2343853,4375;0,0;1053197,4375;1053197,4375;0,07;65;30;3;12;;17;;3;65;30;3;12;;;17;;3
GUROBI;cap64;600;0,04;0;1,0;1053197,4375;1053197,4375;66;816;1616;66;815;1615;928920,971;1588513,6;928920,971;1051692,25;1053197,44;0,0;4;4;;6;;1;5;;4;4;;6;;;1;5;
CBC;cap64;600;0,17;0;2;1053197,4375;1053197,4375;66;816;1616;66;815;1615;1052551,2;1053197,4;1052551,2;;;;;;;;;;;;;;;;;;;;
CPLEX;cap71;120;0,02;0;0,0;932615,75;932615,75;61;191;321;27;70;115;480205,2875;2894362,6;480205,2875;932383,4752;932615,75;0,02;6;7;;7;;2;;;6;7;;7;1;;2;;
GUROBI;cap71;120;0,0;0;1,0;932615,75;932615,75;66;816;1616;15;30;54;925125,253;935444,9;925125,253;931031,332;932615,75;0,0;2;3;;;;1;1;;2;3;;;;;1;1;
CBC;cap71;120;0,08;0;0;932615,7499999999;932615,7499999999;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap71;300;0,02;0;0,0;932615,75;932615,75;61;191;321;27;70;115;480205,2875;2894362,6;480205,2875;932383,4752;932615,75;0,02;6;7;;7;;2;;;6;7;;7;1;;2;;
GUROBI;cap71;300;0,0;0;1,0;932615,75;932615,75;66;816;1616;15;30;54;925125,253;935444,9;925125,253;931031,332;932615,75;0,0;2;3;;;;1;1;;2;3;;;;;1;1;
CBC;cap71;300;0,08;0;0;932615,7499999999;932615,7499999999;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap71;600;0,02;0;0,0;932615,75;932615,75;61;191;321;27;70;115;480205,2875;2894362,6;480205,2875;932383,4752;932615,75;0,02;6;7;;7;;2;;;6;7;;7;1;;2;;
GUROBI;cap71;600;0,0;0;1,0;932615,75;932615,75;66;816;1616;15;30;54;925125,253;935444,9;925125,253;931031,332;932615,75;0,0;2;3;;;;1;1;;2;3;;;;;1;1;
CBC;cap71;600;0,08;0;0;932615,7499999999;932615,7499999999;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap72;120;0,02;0;0,0;977799,4;977799,4;61;191;321;46;148;250;124346,825;2899362,6;124346,825;62,0;977799,4;0,01;24;13;;11;2;6;;;24;13;;11;6;2;6;;
GUROBI;cap72;120;0,01;0;1,0;977799,4;977799,4;66;816;1616;46;116;218;926066,749;1002684,39;926066,749;969570,445;977799,4;0,0;22;13;;1;;2;9;;22;13;;1;;;2;9;
CBC;cap72;120;0,07;0;0;977799,3999999999;977799,3999999999;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap72;300;0,02;0;0,0;977799,4;977799,4;61;191;321;46;148;250;124346,825;2899362,6;124346,825;62,0;977799,4;0,01;24;13;;11;2;6;;;24;13;;11;6;2;6;;
GUROBI;cap72;300;0,01;0;1,0;977799,4;977799,4;66;816;1616;46;116;218;926066,749;1002684,39;926066,749;969570,445;977799,4;0,0;22;13;;1;;2;9;;22;13;;1;;;2;9;
CBC;cap72;300;0,06;0;0;977799,3999999999;977799,3999999999;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap72;600;0,02;0;0,0;977799,4;977799,4;61;191;321;46;148;250;124346,825;2899362,6;124346,825;62,0;977799,4;0,01;24;13;;11;2;6;;;24;13;;11;6;2;6;;
GUROBI;cap72;600;0,01;0;1,0;977799,4;977799,4;66;816;1616;46;116;218;926066,749;1002684,39;926066,749;969570,445;977799,4;0,0;22;13;;1;;2;9;;22;13;;1;;;2;9;
CBC;cap72;600;0,06;0;0;977799,3999999999;977799,3999999999;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap73;120;0,02;0;0,0;1010641,45;1010641,45;61;191;321;49;167;285;119874,225;2904362,6;119874,225;1010641,45;1010641,45;0,02;48;24;;14;1;11;;;48;24;;14;4;1;11;;
GUROBI;cap73;120;0,01;0;1,0;1010641,45;1010641,45;66;816;1616;49;133;251;945096,65;1049365,59;945096,65;1010641,45;1010641,45;0,0;27;15;;1;;3;9;;27;15;;1;;;3;9;
CBC;cap73;120;0,11;0;0;1010641,45;1010641,45;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap73;300;0,02;0;0,0;1010641,45;1010641,45;61;191;321;49;167;285;119874,225;2904362,6;119874,225;1010641,45;1010641,45;0,02;48;24;;14;1;11;;;48;24;;14;4;1;11;;
GUROBI;cap73;300;0,01;0;1,0;1010641,45;1010641,45;66;816;1616;49;133;251;945096,65;1049365,59;945096,65;1010641,45;1010641,45;0,0;27;15;;1;;3;9;;27;15;;1;;;3;9;
CBC;cap73;300;0,12;0;0;1010641,45;1010641,45;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap73;600;0,02;0;0,0;1010641,45;1010641,45;61;191;321;49;167;285;119874,225;2904362,6;119874,225;1010641,45;1010641,45;0,02;48;24;;14;1;11;;;48;24;;14;4;1;11;;
GUROBI;cap73;600;0,01;0;1,0;1010641,45;1010641,45;66;816;1616;49;133;251;945096,65;1049365,59;945096,65;1010641,45;1010641,45;0,0;27;15;;1;;3;9;;27;15;;1;;;3;9;
CBC;cap73;600;0,12;0;0;1010641,45;1010641,45;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap74;120;0,02;0;0,0;1034976,975;1034976,975;61;191;321;49;167;285;119874,225;2911862,6;119874,225;1034976,975;1034976,975;0,02;48;17;;12;;11;;;48;17;;12;9;;11;;
GUROBI;cap74;120;0,01;0;1,0;1034976,975;1034976,975;66;816;1616;49;133;251;969322,138;1108894,6;969322,138;1034976,98;1034976,98;0,0;36;15;;1;;5;8;;36;15;;1;;;5;8;
CBC;cap74;120;0,08;0;0;1034976,975;1034976,975;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap74;300;0,02;0;0,0;1034976,975;1034976,975;61;191;321;49;167;285;119874,225;2911862,6;119874,225;1034976,975;1034976,975;0,02;48;17;;12;;11;;;48;17;;12;9;;11;;
GUROBI;cap74;300;0,01;0;1,0;1034976,975;1034976,975;66;816;1616;49;133;251;969322,138;1108894,6;969322,138;1034976,98;1034976,98;0,0;36;15;;1;;5;8;;36;15;;1;;;5;8;
CBC;cap74;300;0,08;0;0;1034976,975;1034976,975;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap74;600;0,02;0;0,0;1034976,975;1034976,975;61;191;321;49;167;285;119874,225;2911862,6;119874,225;1034976,975;1034976,975;0,02;48;17;;12;;11;;;48;17;;12;9;;11;;
GUROBI;cap74;600;0,01;0;1,0;1034976,975;1034976,975;66;816;1616;49;133;251;969322,138;1108894,6;969322,138;1034976,98;1034976,98;0,0;36;15;;1;;5;8;;36;15;;1;;;5;8;
CBC;cap74;600;0,08;0;0;1034976,975;1034976,975;66;816;1616;65;815;1565;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap91;120;0,04;0;0,0;796648,4375;796648,4375;75;1274;2524;75;1274;2524;0,0;2244550,525;0,0;796648,4375;796648,4375;0,03;52;31;;25;;14;;;52;31;;25;2;;14;;
GUROBI;cap91;120;0,04;0;1,0;796648,4375;796605,6209322;75;1275;2525;75;1274;2524;680700,15;1686509,75;680700,15;792849,486;796648,4375;0,0;19;13;;1;;2;7;;19;13;;1;;;2;7;
CBC;cap91;120;0,09;0;0;796648,4374999999;796648,4374999999;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap91;300;0,04;0;0,0;796648,4375;796648,4375;75;1274;2524;75;1274;2524;0,0;2244550,525;0,0;796648,4375;796648,4375;0,03;52;31;;25;;14;;;52;31;;25;2;;14;;
GUROBI;cap91;300;0,04;0;1,0;796648,4375;796605,6209322;75;1275;2525;75;1274;2524;680700,15;1686509,75;680700,15;792849,486;796648,4375;0,0;19;13;;1;;2;7;;19;13;;1;;;2;7;
CBC;cap91;300;0,09;0;0;796648,4374999999;796648,4374999999;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap91;600;0,04;0;0,0;796648,4375;796648,4375;75;1274;2524;75;1274;2524;0,0;2244550,525;0,0;796648,4375;796648,4375;0,03;52;31;;25;;14;;;52;31;;25;2;;14;;
GUROBI;cap91;600;0,04;0;1,0;796648,4375;796605,6209322;75;1275;2525;75;1274;2524;680700,15;1686509,75;680700,15;792849,486;796648,4375;0,0;19;13;;1;;2;7;;19;13;;1;;;2;7;
CBC;cap91;600;0,09;0;0;796648,4374999999;796648,4374999999;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap92;120;0,06;0;0,0;858109,325;858093,29735;75;1274;2524;50;195;355;0,0;2364550,525;0,0;858093,29735;858109,325;;39;23;;20;1;10;;;39;23;;20;2;1;10;;
GUROBI;cap92;120;0,05;0;1,0;858109,325;858109,325;75;1275;2525;75;1274;2524;699639,483;1751509,75;699639,483;858109,325;858109,325;0,0;10;6;;1;;;5;;10;6;;1;;;;5;
CBC;cap92;120;0,12;0;0;858109,325;858109,325;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap92;300;0,06;0;0,0;858109,325;858093,29735;75;1274;2524;50;195;355;0,0;2364550,525;0,0;858093,29735;858109,325;;39;23;;20;1;10;;;39;23;;20;2;1;10;;
GUROBI;cap92;300;0,05;0;1,0;858109,325;858109,325;75;1275;2525;75;1274;2524;699639,483;1751509,75;699639,483;858109,325;858109,325;0,0;10;6;;1;;;5;;10;6;;1;;;;5;
CBC;cap92;300;0,13;0;0;858109,325;858109,325;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap92;600;0,06;0;0,0;858109,325;858093,29735;75;1274;2524;50;195;355;0,0;2364550,525;0,0;858093,29735;858109,325;;39;23;;20;1;10;;;39;23;;20;2;1;10;;
GUROBI;cap92;600;0,05;0;1,0;858109,325;858109,325;75;1275;2525;75;1274;2524;699639,483;1751509,75;699639,483;858109,325;858109,325;0,0;10;6;;1;;;5;;10;6;;1;;;;5;
CBC;cap92;600;0,12;0;0;858109,325;858109,325;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;120;0,09;0;0,0;900760,1125;900688,76868;75;1274;2524;33;127;245;0,0;2484550,525;0,0;900688,76868;900760,1125;;43;22;2;13;;13;;2;43;22;2;13;;;13;;2
GUROBI;cap93;120;0,07;0;1,0;900760,1125;900760,1125;75;1275;2525;75;1274;2524;718457,333;1816509,75;718457,333;900760,113;900760,113;0,0;13;6;;;;2;2;;13;6;;;;;2;2;
CBC;cap93;120;0,49;0;66;900760,1125000002;900760,1125000002;75;1275;2525;75;1274;2524;898742,89;909825,65;898742,89;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;300;0,09;0;0,0;900760,1125;900688,76868;75;1274;2524;33;127;245;0,0;2484550,525;0,0;900688,76868;900760,1125;;43;22;2;13;;13;;2;43;22;2;13;;;13;;2
GUROBI;cap93;300;0,07;0;1,0;900760,1125;900760,1125;75;1275;2525;75;1274;2524;718457,333;1816509,75;718457,333;900760,113;900760,113;0,0;13;6;;;;2;2;;13;6;;;;;2;2;
CBC;cap93;300;0,5;0;66;900760,1125000002;900760,1125000002;75;1275;2525;75;1274;2524;898742,89;909825,65;898742,89;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;600;0,09;0;0,0;900760,1125;900688,76868;75;1274;2524;33;127;245;0,0;2484550,525;0,0;900688,76868;900760,1125;;43;22;2;13;;13;;2;43;22;2;13;;;13;;2
GUROBI;cap93;600;0,07;0;1,0;900760,1125;900760,1125;75;1275;2525;75;1274;2524;718457,333;1816509,75;718457,333;900760,113;900760,113;0,0;13;6;;;;2;2;;13;6;;;;;2;2;
CBC;cap93;600;0,51;0;66;900760,1125000002;900760,1125000002;75;1275;2525;75;1274;2524;898742,89;909825,65;898742,89;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;120;0,13;0;0,0;950608,425;950552,75715;75;1274;2524;40;174;338;0,0;2664550,525;0,0;950552,75715;950608,425;;55;21;1;16;;14;;3;55;21;1;16;1;;14;;3
GUROBI;cap94;120;0,08;0;1,0;950608,425;950571,2625;75;1275;2525;75;1274;2524;746143,367;1914009,75;746143,367;950571,263;950608,425;0,0;11;2;;;;1;2;;11;2;;;;;1;2;
CBC;cap94;120;0,49;0;36;950608,425;950608,425;75;1275;2525;75;1274;2524;949063,0;994672,56;949063,0;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;300;0,13;0;0,0;950608,425;950552,75715;75;1274;2524;40;174;338;0,0;2664550,525;0,0;950552,75715;950608,425;;55;21;1;16;;14;;3;55;21;1;16;1;;14;;3
GUROBI;cap94;300;0,08;0;1,0;950608,425;950571,2625;75;1275;2525;75;1274;2524;746143,367;1914009,75;746143,367;950571,263;950608,425;0,0;11;2;;;;1;2;;11;2;;;;;1;2;
CBC;cap94;300;0,48;0;36;950608,425;950608,425;75;1275;2525;75;1274;2524;949063,0;994672,56;949063,0;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;600;0,13;0;0,0;950608,425;950552,75715;75;1274;2524;40;174;338;0,0;2664550,525;0,0;950552,75715;950608,425;;55;21;1;16;;14;;3;55;21;1;16;1;;14;;3
GUROBI;cap94;600;0,08;0;1,0;950608,425;950571,2625;75;1275;2525;75;1274;2524;746143,367;1914009,75;746143,367;950571,263;950608,425;0,0;11;2;;;;1;2;;11;2;;;;;1;2;
CBC;cap94;600;0,48;0;36;950608,425;950608,425;75;1275;2525;75;1274;2524;949063,0;994672,56;949063,0;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;120;0,02;0;0,0;796648,4375;796648,4375;71;277;483;57;220;383;105207,2625;2894362,6;105207,2625;796648,4375;796648,4375;0,02;36;26;;19;4;9;;;36;26;;19;7;4;9;;
GUROBI;cap101;120;0,01;0;1,0;796648,4375;796615,564799;75;1275;2525;57;185;348;721636,925;811651,725;721636,925;796615,565;796648,438;0,0;22;20;;2;;5;10;;22;20;;2;;;5;10;
CBC;cap101;120;0,09;0;0;796648,4374999999;796648,4374999999;75;1275;2525;74;1274;2474;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;300;0,02;0;0,0;796648,4375;796648,4375;71;277;483;57;220;383;105207,2625;2894362,6;105207,2625;796648,4375;796648,4375;0,02;36;26;;19;4;9;;;36;26;;19;7;4;9;;
GUROBI;cap101;300;0,01;0;1,0;796648,4375;796615,564799;75;1275;2525;57;185;348;721636,925;811651,725;721636,925;796615,565;796648,438;0,0;22;20;;2;;5;10;;22;20;;2;;;5;10;
